"fecha","cantidad","edad","dia","hombres","mujeres","provincias","cantidad"
"20210211","1","25","1","48","163","arequipa","132"
"20210212","18","39.722222222222","2","","","camana","17"
"20210213","26","41.884615384615","3","","","caaraveli","5"
"20210214","5","46.8","4","","","castilla","14"
"20210215","20","37.05","5","","","caylloma","18"
"20210216","6","37","6","","","condsuyos","9"
"20210217","23","43.391304347826","7","","","islay","11"
"20210218","31","46","8","","","union","6"
"20210219","13","42","9","","","",""
"20210220","41","47.682926829268","10","","","",""
"20210221","28","47.464285714286","11","","","",""
